MttAssay Item Descriptions
Item Name,Description
Vortex,Vortex
Stripette,Stripette
Eppendorf,Eppendorf
ConicalTube,Conical Tube
Trypsin,Trypsin
Medium,Medium
96WellPlate,96WellPlate
96WellPlate (1),96WellPlate
CellCultureFlask,CellCultureFlask
Beaker,Beaker
Scale,Scale
Microscope,Microscope
Trash,Trash
Hypocytometer,Hypocytometer
Single-Channel-Pippette,Single-Channel-Pippette
PlatePrepper,PlatePrepper
Centrifuge,Centrifuge
Waterbath,Waterbath
Spectrophotometer,Spectrophotometer
